work type,"title/_pref=""preferred""","title/_pref=""alternate""",title/_lang,creator,"measurements/_unit=""cm""",materials technique,style,creation date,"location/_type=""creation Location""","location/_type=""currentRepository""",classification,related work/_part of,related work/_larger context for,link related resource,rights_Resource,record source
painting,"""11 ABR.68""",,Spanish,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1968-04-11,Ciudad de México,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (11 ABR.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""28 SEP.68""","La actriz norteamericana Jane Fonda, casada con el director de cine francés Roger Vadim, dio a luz esta manana a una nína, que recibió el nombre de Vanessa.",Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1968-09-28,Bogotá,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (28 SEP.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""5 OCT.68""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1968-10-05,Quito,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (5 OCT.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""16 OCT.68""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1968-10-16,Lima,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (16 OCT.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""21 OCT.68""",EE.UU:24...15...16;UniónSoviética:11...13...11;Francia:5...1...3;Alem.Oriental:4...4...3;Japón:4...2...1;Hungría:3...6...8;Australia:3...5...3;Kenya:3...4...1;Rumania:3...2...0;Polonia:3...0...7;Alem.Occ:2...6...5;PaísesBajos:2...0...0;G.Bretaña:2...2...1;Irán:2...1...2;Checoslovaquia:2...0...0;Turquía: 2...0...0;Túnez:1...0...1;Yugoslavia:1...0...0.,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1968-10-21,Santiago,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (21 OCT.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""29 NOV.68""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1968-11-29,Montevideo,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (29 NOV.68),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""18 ENE.69""","Varios centenares de exaltados estudiantes resistieron hoy durante 10 horas en el ensangrentado recinto de la Universidad de Tokio, varias cargas de milares de policías, reforzados por helicópteros.",Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-01-18,Asunción,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (18 ENE.69),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""31JAN.1969""",,Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-01-31,São Paulo,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (31 JAN.1969),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""7 FEV.1969""","Um caca-bombardeiro nigeriano 'Illyushin-18' lancou bombas hoje em um mercado da aldeia de Umuohiagu, em Biafra, matando trezentas pessoas e ferindo quinhentas.",Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-02-07,Rio de Janeiro,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (7 FEV.1969),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""24 FEV.1969""",,Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1969-02-24,Brasília,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (24 FEV.1969),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
